path,sentence
audios/2017/F0000000006_0000.wav,โกวาจี
audios/2017/F0000000006_0001.wav,โกวาจีก๋วยเตี๋ยวในจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0002.wav,ข้าวหมูแดงในจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0003.wav,ข้าวมันไก่ในจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0004.wav,ร้านอาหารตามสั่งในจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0005.wav,ร้านสเต็กในจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0006.wav,ก๋วยเตี๋ยวรอบนอกจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0007.wav,ข้าวหมูแดงรอบนอกจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0008.wav,ข้าวมันไก่รอบนอกจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0009.wav,ร้านอาหารตามสั่งรอบนอกจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0010.wav,ร้านสเต็กรอบนอกจุฬามีร้านไหนบ้าง
audios/2017/F0000000006_0011.wav,อยากกินไก่ทอดที่ไหนอร่อย
audios/2017/F0000000006_0012.wav,อยากกินผัดไทยที่ไหนอร่อย
audios/2017/F0000000006_0013.wav,ร้านอาหารตามสั่งที่คณะวิศวะเปิดกี่โมง
audios/2017/F0000000006_0014.wav,ร้านก๋วยเตี๋ยวที่คณะวิศวะเปิดกี่โมง
audios/2017/F0000000006_0015.wav,ร้านข้าวมันไก่ที่คณะวิศวะเปิดกี่โมง
audios/2017/F0000000006_0016.wav,ไอติมพาราโบลามีตรงไหนบ้าง
audios/2017/F0000000006_0017.wav,ก๋วยเตี๋ยวอดทนรอนานไหม
audios/2017/F0000000006_0018.wav,มีเงินยี่สิบบาทกินอะไรได้บ้าง
audios/2017/F0000000006_0019.wav,เกาเหลาที่หอยูอร่อยไหม
audios/2017/F0000000006_0020.wav,ที่อักษรมีร้านไหนเด็ดเด็ดบ้าง
audios/2017/F0000000006_0021.wav,ที่วิศวะมีร้านไหนเด็ดเด็ดบ้าง
audios/2017/F0000000006_0022.wav,ที่บัญชีมีร้านไหนเด็ดเด็ดบ้าง
audios/2017/F0000000006_0023.wav,ที่เศรษฐศาสตร์มีร้านไหนเด็ดเด็ดบ้าง
audios/2017/F0000000006_0024.wav,เครปศาลาพระเกี้ยวไปอยู่ไหนแล้ว
audios/2017/F0000000006_0025.wav,มีเงินห้าสิบบาทกินอะไรดี
audios/2017/F0000000006_0026.wav,มีเงินหนึ่งร้อยบาทกินอะไรดี
audios/2017/F0000000006_0027.wav,มีเงินสองร้อยบาทกินอะไรดี
audios/2017/F0000000006_0028.wav,ที่นิติมีร้านไหนเด็ดเด็ดบ้าง
audios/2017/F0000000006_0029.wav,อยากกินสเต็กงบหนึ่งร้อยบาทที่ไหนดี
audios/2017/F0000000006_0030.wav,อยากกินสเต็กงบห้าร้อยบาทที่ไหนดี
audios/2017/F0000000006_0031.wav,อยากกินชาบูงบสามร้อยบาทที่ไหนดี
audios/2017/F0000000006_0032.wav,อยากกินชาบูงบห้าร้อยบาทที่ไหนดี
audios/2017/F0000000006_0033.wav,ช่วงนี้มีโปรโมชั่นอะไรน่าสนใจบ้าง
audios/2017/F0000000006_0034.wav,ส้มตำข้างแอมปาร์คปิดกี่โมง
audios/2017/F0000000006_0035.wav,ข้าวมันไก่เจ๊ดาวปิดกี่โมง
audios/2017/F0000000006_0036.wav,เกาเหลาสามหมูปิดกี่โมง
audios/2017/F0000000006_0037.wav,ร้านยยักษ์ปิดกี่โมง
audios/2017/F0000000006_0038.wav,มีร้านไหนมีปลั๊กไฟให้ชาร์จบ้าง
audios/2017/F0000000006_0039.wav,มีร้านไหนมีโปรโมชันบ้าง
audios/2017/F0000000006_0040.wav,มีร้านไหนมีไวไฟให้ใช้บ้าง
audios/2017/F0000000006_0041.wav,ปังเย็นมีกี่สาขา
audios/2017/F0000000006_0042.wav,มีร้านอาหารที่ไหนซื้อหนึ่งแถมหนึ่งบ้าง
audios/2017/F0000000006_0043.wav,มีร้านบุฟเฟต์ที่ไหนมาสี่จ่ายสามบ้าง
audios/2017/F0000000006_0044.wav,มีร้านอาหารที่ไหนเปิดเกินสี่ทุ่มบ้าง
audios/2017/F0000000006_0045.wav,กินอาหารร้านไอเดียใช้งบประมาณเท่าไหร่
audios/2017/F0000000006_0046.wav,กินเคเอฟซีใช้งบประมาณเท่าไหร่
audios/2017/F0000000006_0047.wav,โจ๊กสามย่านเปิดมากี่ปีแล้ว
audios/2017/F0000000006_0048.wav,โปรโมชันมาสี่จ่ายสามร้านมิยาบิหมดเขตวันไหน
audios/2017/F0000000006_0049.wav,ครีมเมอรี่มีไอติมรสใหม่อะไรบ้าง
audios/2017/F0000000006_0050.wav,พาราโบลาวันนี้มีรสอะไร
audios/2017/F0000000006_0051.wav,คณะวิศวะมีร้านขายผลไม้ไหม
audios/2017/F0000000006_0052.wav,ไอติมไผ่ทองมาขายที่คณะวิศวะกี่โมง
audios/2017/F0000000006_0053.wav,วันนี้โรงอาหารตึกจุลมีร้านไหนปิดบ้าง
audios/2017/F0000000006_0054.wav,วันนี้โรงอาหารคณะอักษรมีร้านไหนปิดบ้าง
audios/2017/F0000000006_0055.wav,พรุ่งนี้โรงอาหารหอในมีร้านไหนปิดบ้าง
audios/2017/F0000000006_0056.wav,พรุ่งนี้โรงอาหารมหิตมีร้านไหนปิดบ้าง
audios/2017/F0000000006_0057.wav,ขอเส้นทางไปโรงอาหารคณะแพทย์
audios/2017/F0000000006_0058.wav,ขอเส้นทางไปร้านก๋วยเตี๋ยวกัญชา
audios/2017/F0000000006_0059.wav,ร้านขนมหวานมีผลไม้ขายด้วยไหม
audios/2017/F0000000006_0060.wav,ตลาดนัดวันศุกร์จัดที่ไหน
audios/2017/F0000000006_0061.wav,ไอติมไผ่ทองขายยังไง
audios/2017/F0000000006_0062.wav,หมูปิ้งที่วิศวะขายไม้ละห้าบาทใช่ไหม
audios/2017/F0000000006_0063.wav,ได้ยินว่ามีตลาดนัดมันอยู่ตรงไหนนะ
audios/2017/F0000000006_0064.wav,โรตีลุงที่จามเก้าแบบใส่ไข่และกล้วยราคาเท่าไหร่
audios/2017/F0000000006_0065.wav,มันปิ้งที่คณะบัญชีขายทุกวันไหม
audios/2017/F0000000006_0066.wav,ไปเจ๊โอวตอนนี้คิวยาวมั้ย
audios/2017/F0000000006_0067.wav,ลุงฟรุตตี้ขายอะไรบ้าง
audios/2017/F0000000006_0068.wav,ขอพิกัดร้านขายน้ำดื่มขวดละห้าบาท
audios/2017/F0000000006_0069.wav,เจฟเฟอร์ที่จามสแควร์รับเหรียญสตางค์ไหม
audios/2017/F0000000006_0070.wav,บัวลอยสวีทเซอเคิลเมนูไหนน่ากิน
audios/2017/F0000000006_0071.wav,เซงเซียมอี๊เมนูไหนน่ากิน
audios/2017/F0000000006_0072.wav,ร้านก๋วยเตี๋ยวรุจิศรีเมนูไหนน่ากิน
audios/2017/F0000000006_0073.wav,ร้านห้าหอในเมนูไหนน่ากิน
audios/2017/F0000000006_0074.wav,เครปหอในสองไส้กี่บาท
audios/2017/F0000000006_0075.wav,จามสแควร์มีร้านฮาจิบังไหม
audios/2017/F0000000006_0076.wav,จามสแควร์มีร้านเจฟเฟอร์ไหม
audios/2017/F0000000006_0077.wav,จามสแควร์มีร้านยาโยอิไหม
audios/2017/F0000000006_0078.wav,จามสแควร์มีร้านโอโตยะไหม
audios/2017/F0000000006_0079.wav,จามสแควร์มีร้านเอ็มเคไหม
audios/2017/F0000000006_0080.wav,กล้วยปิ้งร้านไหนอร่อย
audios/2017/F0000000006_0081.wav,มีร้านไหนแถวจุฬาเปิดยี่สิบสี่ชั่วโมงบ้าง
audios/2017/F0000000006_0082.wav,มีเซเว่นกี่ที่ในจุฬา
audios/2017/F0000000006_0083.wav,มีอเมซอนกี่ที่ในจุฬา
audios/2017/F0000000006_0084.wav,อเมซอนที่คณะวิศวะลดราคากี่เปอร์เซ็นต์
audios/2017/F0000000006_0085.wav,คณะวิศวะมีร้านกาแฟกี่ร้าน
audios/2017/F0000000006_0086.wav,คณะบัญชีมีร้านอาหารตามสั่งกี่ร้าน
