path,sentence
record_healthcare_7000041_2003.wav,ลุงยกกระสอบข้าวสารหนักห้าสิบกิโลกรัมจนเจ็บกล้ามเนื้อ
record_healthcare_7000037_839.wav,ฉันปวดท้องช่วงล่าง
record_healthcare_7000016_566.wav,รู้สึกเจ็บบริเวณไฝบนหน้า
record_healthcare_7000041_2313.wav,ฉันเป็นภูมิแพ้จึงทำให้ฉันหายใจลำบาก
record_healthcare_7000042_1389.wav,ฉันรู้สึกวิตกกังวล
record_healthcare_7000035_94.wav,ฉันมีอาการปวดหลังรุนแรง
record_healthcare_7000022_371.wav,ตุ่มแดงขึ้นเต็มเลยไม่รู้ไปโดนอะไรมา
record_healthcare_7000054_1249.wav,แมลงเข้าหูทำให้ปวดหู
record_healthcare_7000022_1661.wav,แผลเป็นหนองเหมือนติดเชื้อ
record_healthcare_7000041_1059.wav,ป้ารู้สึกวิงเวียนศีรษะหน้ามืดเวลาลุกเร็วเร็ว
record_healthcare_7000031_1407.wav,ฉันรู้สึกเจ็บปวดภายในแม้ว่าจะไม่มีบาดแผลภายนอกก็ตาม
record_healthcare_7000031_309.wav,ฉันเจ็บเข่าเนื่องจากตกบันไดเมื่อคืน
record_healthcare_7000042_1600.wav,หลังผ่าตัดตาจะมีอาการการมองเห็นไม่ชัด
record_healthcare_7000041_1268.wav,กลางคืนเวลานอนก็มีไอบ้าง
record_healthcare_7000033_360.wav,ตัวร้อนแบบรุมรุม
record_healthcare_7000026_419.wav,ปวดหลังเหมือนมีคนใช้ไม้ทุบหลังมา
record_healthcare_7000023_238.wav,ฉันรู้สึกเมื่อยเนื้อเมื่อยตัวเหมือนจะเป็นไข้
record_healthcare_7000036_2037.wav,เครียดเรื่องเรียน
record_healthcare_7000043_792.wav,ไฝขึ้นที่ตาอยากจะไปเอาออกเพราะมองไม่เห็น
record_healthcare_7000052_1863.wav,ฉันเจ็บปวดลามไปทั่วฝ่าเท้า
record_healthcare_7000040_545.wav,รู้สึกมีไข้ไอและมีน้ำมูกน่าจะไม่สบาย
record_healthcare_7000037_813.wav,กินของที่เผ็ดมากมากทำให้เจ็บบริเวณช่องปาก
record_healthcare_7000027_426.wav,ปวดหัวเข่าเวลายืนนาน
record_healthcare_7000033_1292.wav,ค่าเช่าบ้านยังไม่จ่ายกังวลใจจัง
record_healthcare_7000042_2433.wav,ล้มในห้องน้ำเมื่อเช้าเจ็บเลย
record_healthcare_7000040_1300.wav,ฉันคิดมากจนวิตกกังวล
record_healthcare_7000035_2211.wav,ฉันปวดข้อเหมือนข้อจะอักเสบ
record_healthcare_7000025_594.wav,ร่างกายของฉันเหนื่อยล้ามากเพราะฉันทำงานหนัก
record_healthcare_7000039_197.wav,ฉันรู้สึกอ่อนเพลียและเหนื่อยล้า
record_healthcare_7000035_909.wav,ฉันรู้สึกปวดกกหู
record_healthcare_7000051_2076.wav,เดินโดยไม่พักจะทำให้เจ็บเท้า
record_healthcare_7000018_425.wav,ปวดหัวเข่ามีเสียงกระดูกลั่น
record_healthcare_7000026_2324.wav,ฉันไม่ได้นอนทั้งคืนจนมีอาการปวดหัว
record_healthcare_7000031_2339.wav,ตกบันไดข้อเท้าพลิก
record_healthcare_7000052_1556.wav,ยานอนหลับหมดทำให้ฉันนอนไม่หลับเลย
record_healthcare_7000021_528.wav,รู้สึกปวดหลังบริเวณด้านล่างของส่วนหลัง
record_healthcare_7000052_1492.wav,ตื่นเวลาเดิมตอนกลางคืน
record_healthcare_7000042_10.wav,ก้มหลังไม่ได้เลย
record_healthcare_7000041_1564.wav,รู้สึกตาพร่ามัวและเวียนหัวบ้านหมุน
record_healthcare_7000034_449.wav,มันปวดเสียวบริเวณหลังลงมาจนถึงปลายเท้า
record_healthcare_7000043_768.wav,เวลาเดินเร็วจะรู้สึกเจ็บบริเวณหัวใจไม่รู้เกิดจากอะไร
record_healthcare_7000037_1632.wav,เมื่อฉันรับประทานอาหารรสจัดจะรู้สึกเจ็บปวดภายใน
record_healthcare_7000040_1914.wav,ถ้าเดินมากฉันจะเจ็บกล้ามเนื้อขา
record_healthcare_7000051_990.wav,ปวดท้องจี๊ดทางด้านขวา
record_healthcare_7000025_930.wav,ฉันรู้สึกเจ็บจี๊ดจี๊ดเวลาทานข้าว
record_healthcare_7000044_692.wav,เจ็บเข่าต้องรับการผ่าตัดหรือไม่
record_healthcare_7000032_700.wav,เจ็บเข่าเวลายืนนาน
record_healthcare_7000017_720.wav,เดินไม่ไหวแค่ยืนก็เจ็บหัวเข่ามากมาก
record_healthcare_7000052_1323.wav,ฉันนอนไม่หลับเพราะไม่ได้กินยา
record_healthcare_7000022_611.wav,ล้มกระแทกแล้วเข่าบวมเดินไม่ได้
record_healthcare_7000029_319.wav,ฉันเดินขึ้นบันไดไม่ได้เพราะเจ็บเข่า
record_healthcare_7000021_2203.wav,ฉันปวดข้อมือซ้าย
record_healthcare_7000038_1661.wav,แผลเป็นหนองเหมือนติดเชื้อ
record_healthcare_7000039_793.wav,ไฝตรงคอนั่นเอาออกได้รึเปล่า
record_healthcare_7000026_569.wav,รู้สึกเจ็บหัวใจจี๊ดตอนนั่งทำงาน
record_healthcare_7000035_912.wav,ฉันรู้สึกปวดหูเหมือนมีของเหลวในหู
record_healthcare_7000036_1985.wav,รู้สึกเจ็บกล้ามเนื้อที่ขา
record_healthcare_7000019_495.wav,มีไข้ตัวร้อนคู่กับไอแบบมีเสมหะ
record_healthcare_7000032_1768.wav,ฉันมีอาการผมร่วงอย่างรุนแรง
record_healthcare_7000038_523.wav,รู้สึกปวดบริเวณหน้าอกด้านซ้าย
record_healthcare_7000020_1353.wav,ฉันมองไม่เห็นสิ่งของที่ตั้งอยู่ระยะไกลไกล
record_healthcare_7000033_7.wav,กินอะไรไม่ค่อยได้กินได้แต่นมร่างกายก็ไม่มีแรงด้วย
record_healthcare_7000017_601.wav,ร่างกายเหนื่อยล้าอย่างไม่ทราบสาเหตุ
record_healthcare_7000044_1921.wav,บางทีการอยู่เฉยเฉยก็อาจทำให้เครียดได้
record_healthcare_7000035_676.wav,เจ็บหน้าอกจากการนอนทับ
record_healthcare_7000051_1438.wav,ฉันเป็นคนกลัวการเข้าสังคมจนวิตกกังวล
record_healthcare_7000032_1821.wav,ฉันลืมบ่อยสมาธิสั้นมากเบื่อเร็ว
record_healthcare_7000029_1603.wav,อยู่ดีดีตาก็มัวเบลอมองอะไรไม่ชัด
record_healthcare_7000022_715.wav,เดินเยอะก็ไม่ไหวแก่แล้วหัวเข่าไม่ค่อยจะดี
record_healthcare_7000037_1638.wav,เมื่อเจออากาศเย็นฉันจะไอ
record_healthcare_7000022_1078.wav,ผิวหนังเหมือนจะลอกแดง
record_healthcare_7000021_388.wav,นอนไม่ครบแปดชั่วโมงทำให้ร่างกายเหนื่อยล้า
record_healthcare_7000053_177.wav,ฉันรู้สึกมีไข้เวลาเครียด
record_healthcare_7000052_339.wav,ฉันไอทั้งวัน
record_healthcare_7000035_2248.wav,ฉันมีแผลถลอกบริเวณเข่าเพราะล้ม
record_healthcare_7000043_194.wav,ฉันรู้สึกว่าเหนื่อยง่ายอ่อนเพลีย
record_healthcare_7000040_1655.wav,แผลที่เคยผ่าตัดของฉันติดเชื้อ
record_healthcare_7000032_2019.wav,หมดแรงแล้วทำอะไรก็ช้าไปหมด
record_healthcare_7000016_693.wav,เจ็บเข่ามากลุกนั่งไม่ค่อยดีเลย
record_healthcare_7000027_378.wav,ทำงานบ้านมาทั้งวันรู้สึกเหนื่อยล้า
record_healthcare_7000029_609.wav,ลุกไม่ขึ้นปวดตัว
record_healthcare_7000035_1321.wav,ฉันนอนไม่หลับเพราะน้องไม่ยอมปิดไฟ
record_healthcare_7000043_735.wav,เมื่อฉันไอจามมักจะเจ็บบริเวณหัวใจ
record_healthcare_7000036_757.wav,เวลาฉันงอขาตรงหัวเข่ามันมีเสียงดังกรอบแกรบพอลุกขึ้นเดินมันก็รู้สึกปวดเหมือนโดนบีบ
record_healthcare_7000052_57.wav,ฉันปวดหลังบริเวณด้านล่างใกล้กับก้น
record_healthcare_7000044_659.wav,เข่ากระแทกโต๊ะจนเจ็บ
record_healthcare_7000041_46.wav,ฉันประสบอุบัติเหตุทำให้ฉันเจ็บเข่า
record_healthcare_7000038_2372.wav,ปวดข้อเท้าเพราะลื่นล้มในห้องน้ำ
record_healthcare_7000041_2285.wav,ฉันหายใจลำบากเพราะกินเยอะ
record_healthcare_7000035_1932.wav,ปวดใจกับคำพูดไม่ดี
record_healthcare_7000036_1011.wav,ปวดท้องแบบจุกแน่นร้าวไปหลัง
record_healthcare_7000035_423.wav,ปวดหลังเหมือนโดนทุบ
record_healthcare_7000053_232.wav,ฉันรู้สึกเจ็บเข่าเหมือนไม่มีแรง
record_healthcare_7000038_1591.wav,วิงเวียนศีรษะจนการมองเห็นไม่ชัดเจน
record_healthcare_7000023_1788.wav,ฉันรู้สึกปวดที่ข้อเท้าและเวลาเดินจะรู้สึกเจ็บเท้า
record_healthcare_7000023_538.wav,รู้สึกมีไข้สูงจนจะหมดสติแล้ว
record_healthcare_7000029_1559.wav,รอยแผลใหญ่มากกลัวติดเชื้อ
record_healthcare_7000042_2060.wav,เจ็บเท้าเพราะโดนแก้วบาด
record_healthcare_7000042_748.wav,เมื่อเช้าฉันถอนหญ้าหน้าบ้านตอนนี้ฉันปวดหลังมากเลย
record_healthcare_7000027_2025.wav,ออกกำลังกายหนักระวังกล้ามเนื้อบาดเจ็บ
record_healthcare_7000026_977.wav,นอนตะแคงนานนานทำให้ปวดหู
record_healthcare_7000038_1549.wav,มีอาการปวดคอ
record_healthcare_7000043_1663.wav,แม่ชอบนวดแผนไทยเพราะมีอาการปวดต้นคอและท้ายทอย
record_healthcare_7000031_2293.wav,ฉันออกกำลังกายผิดท่าจึงทำให้ปวดข้อเท้า
record_healthcare_7000043_2087.wav,เป็นแผลที่เท้าทำให้เจ็บเท้า
record_healthcare_7000032_61.wav,ฉันปวดหลังมากเวลาที่ต้องนอนที่นอนที่นิ่มเกินไป
record_healthcare_7000025_1770.wav,ฉันมีอาการระคายเคืองดวงตา
record_healthcare_7000044_2434.wav,วันก่อนฉันล้มกล้ามเนื้อฉีกขาดจากอุบัติเหตุ
record_healthcare_7000034_1423.wav,ฉันสะดุ้งตื่นกลางดึก
record_healthcare_7000016_2083.wav,เท้าเจ็บเหมือนเอ็นขาด
record_healthcare_7000028_904.wav,ฉันรู้สึกคันบริเวณข้อพับ
record_healthcare_7000050_856.wav,ฉันปวดท้องเมื่อกินของแสลง
record_healthcare_7000035_1034.wav,ปวดหูใส่หูฟังไม่ได้เลย
